Product Name,Brand,Price (INR),Rating,Product Link
HP MSO 2024 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) fd0467TU Thin and Light ...,HP,54490,4.1,https://www.flipkart.com/hp-mso-2024-intel-core-i5-13th-gen-1334u-16-gb-512-gb-ssd-windows-11-home-fd0467tu-thin-light-laptop/p/itmc8ca0b60f166f?pid=COMH8QXWHJRQKR6P&lid=LSTCOMH8QXWHJRQKR6PRNKDP0&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_11&otracker=search&fm=organic&iid=en_p3p1qqDWAjBa7ELsRE11ZxDv0Tw8q_xeGILvdmjT2W9SezJw-J3cepjTmbnVliDS4wdrUgOfxJzJ7_IAL78yEeo15S0a61Wzzbg3qNOknKY%3D&ppt=None&ppn=None&ssid=9jskqlw0qo0000001748704670359&qH=c06ea84a1e3dc3c6
HP OMEN Intel Core i7 14th Gen 14650HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce ...,HP,109100,4.1,https://www.flipkart.com/hp-omen-intel-core-i7-14th-gen-14650hx-16-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-4060-16-wf1096tx-gaming-laptop/p/itm98841df0cbbc6?pid=COMHFCEENHGMPUDC&lid=LSTCOMHFCEENHGMPUDCKYD9VS&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_12&otracker=search&fm=organic&iid=en_p3p1qqDWAjBa7ELsRE11ZxDv0Tw8q_xeGILvdmjT2W_uFSaITImuCb0Eyit3EtQZpz5Y11hRwF0c8_G5va2FXEhz9c-MSIoFe8xMxkfU6dM%3D&ppt=None&ppn=None&ssid=9jskqlw0qo0000001748704670359&qH=c06ea84a1e3dc3c6
SAMSUNG Galaxy Book4 Intel Core 5 120U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGK-KS1IN / NP750XGK-L...,SAMSUNG,47490,4.4,https://www.flipkart.com/samsung-galaxy-book4-intel-core-5-120u-8-gb-512-gb-ssd-windows-11-home-np750xgk-ks1in-np750xgk-ls1in-thin-light-laptop/p/itmeece9b6eeaf40?pid=COMGYQ26ZKUWUQGS&lid=LSTCOMGYQ26ZKUWUQGS3P3PC3&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&spotlightTagId=default_TrendingId_6bo%2Fb5g&srno=s_1_13&otracker=search&fm=organic&iid=4f29a5d8-87b5-4bd5-b861-2e6554e7b03e.COMGYQ26ZKUWUQGS.SEARCH&ppt=None&ppn=None&ssid=9jskqlw0qo0000001748704670359&qH=c06ea84a1e3dc3c6
Acer Aspire 3 Intel Core i5 13th Gen 1334U - (8 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light ...,Acer,43990,4.2,https://www.flipkart.com/acer-aspire-3-intel-core-i5-13th-gen-1334u-8-gb-512-gb-ssd-windows-11-home-a324-53-thin-light-laptop/p/itm707770fddc7e9?pid=COMH4B6CNJXPHGAG&lid=LSTCOMH4B6CNJXPHGAGWW6NVE&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_14&otracker=search&fm=organic&iid=4f29a5d8-87b5-4bd5-b861-2e6554e7b03e.COMH4B6CNJXPHGAG.SEARCH&ppt=None&ppn=None&ssid=9jskqlw0qo0000001748704670359&qH=c06ea84a1e3dc3c6
Lenovo Chromebook MediaTek Kompanio 520 - (8 GB/128 GB EMMC Storage/Chrome OS) 14M868 Thin and Light L...,Lenovo,18990,3.8,https://www.flipkart.com/lenovo-chromebook-mediatek-kompanio-520-8-gb-128-gb-emmc-storage-chrome-os-14m868-thin-light-laptop/p/itm4dc67999fe3de?pid=COMGTR89FPA5ZWVC&lid=LSTCOMGTR89FPA5ZWVCASD6KX&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_15&otracker=search&fm=organic&iid=4f29a5d8-87b5-4bd5-b861-2e6554e7b03e.COMGTR89FPA5ZWVC.SEARCH&ppt=None&ppn=None&ssid=9jskqlw0qo0000001748704670359&qH=c06ea84a1e3dc3c6
ASUS Vivobook Go 15 OLED AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-LK322...,ASUS,35990,4.4,https://www.flipkart.com/asus-vivobook-go-15-oled-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-e1504fa-lk322ws-thin-light-laptop/p/itm3de88f71e558b?pid=COMGMGXFE9F37AMQ&lid=LSTCOMGMGXFE9F37AMQLGQ2YD&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_16&otracker=search&fm=organic&iid=4f29a5d8-87b5-4bd5-b861-2e6554e7b03e.COMGMGXFE9F37AMQ.SEARCH&ppt=None&ppn=None&ssid=9jskqlw0qo0000001748704670359&qH=c06ea84a1e3dc3c6
HP OMEN AI PC OLED Intel Core Ultra 7 155H - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFo...,HP,119990,4.1,https://www.flipkart.com/hp-omen-ai-pc-oled-intel-core-ultra-7-155h-16-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-4060-14-fb0007tx-gaming-laptop/p/itm4376217e58ef4?pid=COMGYWNSHFXFMZES&lid=LSTCOMGYWNSHFXFMZESLQLAGD&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_17&otracker=search&fm=organic&iid=en_p3p1qqDWAjBa7ELsRE11ZxDv0Tw8q_xeGILvdmjT2W9MLIXHdkoav-8RKyJu3Ybi01jpcj_cgAnaeHT3_SmYPYnfEY2D5bWfIUmTlXs_oiU%3D&ppt=None&ppn=None&ssid=9jskqlw0qo0000001748704670359&qH=c06ea84a1e3dc3c6
HP Victus Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,HP,70990,4.3,https://www.flipkart.com/hp-victus-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3050-15-fa2700tx-gaming-laptop/p/itm068529921479d?pid=COMH8VXVWNPAZCSX&lid=LSTCOMH8VXVWNPAZCSX9Y3PQV&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_18&otracker=search&fm=organic&iid=en_p3p1qqDWAjBa7ELsRE11ZxDv0Tw8q_xeGILvdmjT2W_CU2w5D_aw6upBtIxNBKZOqlbg0S-j36uez0ZG2KnsEWVkv0XZFiOX7bbXdlao_f8%3D&ppt=None&ppn=None&ssid=9jskqlw0qo0000001748704670359&qH=c06ea84a1e3dc3c6
Acer Aspire Lite Intel Core i5 12th Gen 12450H - (16 GB/1 TB SSD/Windows 11 Home) AL15-52H Thin and Li...,Acer,48990,4.1,https://www.flipkart.com/acer-aspire-lite-intel-core-i5-12th-gen-12450h-16-gb-1-tb-ssd-windows-11-home-al15-52h-thin-light-laptop/p/itmc262e2fa338ce?pid=COMH883AGRXJD8SB&lid=LSTCOMH883AGRXJD8SBYSNBXS&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_19&otracker=search&fm=organic&iid=4f29a5d8-87b5-4bd5-b861-2e6554e7b03e.COMH883AGRXJD8SB.SEARCH&ppt=None&ppn=None&ssid=9jskqlw0qo0000001748704670359&qH=c06ea84a1e3dc3c6
ASUS Vivobook 15 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) X1504VA-NJ320WS Thin...,ASUS,35990,4.2,https://www.flipkart.com/asus-vivobook-15-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-x1504va-nj320ws-thin-light-laptop/p/itm200184e4e0443?pid=COMGYSFGRDEFFPY6&lid=LSTCOMGYSFGRDEFFPY6IFXPZU&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_20&otracker=search&fm=organic&iid=4f29a5d8-87b5-4bd5-b861-2e6554e7b03e.COMGYSFGRDEFFPY6.SEARCH&ppt=None&ppn=None&ssid=9jskqlw0qo0000001748704670359&qH=c06ea84a1e3dc3c6
HP Victus Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,HP,74990,4.1,https://www.flipkart.com/hp-victus-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-4050-144-hz-fa1278tx-gaming-laptop/p/itm12155252a3140?pid=COMH8Z22GGEQZBVQ&lid=LSTCOMH8Z22GGEQZBVQDEIB54&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_21&otracker=search&fm=organic&iid=en_p3p1qqDWAjBa7ELsRE11ZxDv0Tw8q_xeGILvdmjT2W_NlO-WxigwMVhnGiUaWgby2YGUmX1sqm0WOi7PNuFM-_cUmN_6PwCReg_VTM4VLxo%3D&ppt=None&ppn=None&ssid=9jskqlw0qo0000001748704670359&qH=c06ea84a1e3dc3c6
HP Omen Intel Core i7 13th Gen 13620H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce R...,HP,110990,4.3,https://www.flipkart.com/hp-omen-intel-core-i7-13th-gen-13620h-16-gb-1-tb-ssd-windows-11-home-6-gb-graphics-nvidia-geforce-rtx-4050-16-wd0011tx-gaming-laptop/p/itm0213ec9106c1c?pid=COMHYBKGJTHGEA8Y&lid=LSTCOMHYBKGJTHGEA8YXQBLQH&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_22&otracker=search&fm=organic&iid=en_p3p1qqDWAjBa7ELsRE11ZxDv0Tw8q_xeGILvdmjT2W-x4mmwpqVKmhV9rnP3fKtL8k4T251q1mXa78-jGPzF8uI7uWi7bi3WLqk6JF-UYDE%3D&ppt=None&ppn=None&ssid=9jskqlw0qo0000001748704670359&qH=c06ea84a1e3dc3c6
Acer Aspire Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) AL15-52H Thin and Light...,Acer,44990,4.1,https://www.flipkart.com/acer-aspire-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-al15-52h-thin-light-laptop/p/itmc262e2fa338ce?pid=COMH59E4SZYVDQUU&lid=LSTCOMH59E4SZYVDQUU1KQHXN&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_23&otracker=search&fm=organic&iid=4f29a5d8-87b5-4bd5-b861-2e6554e7b03e.COMH59E4SZYVDQUU.SEARCH&ppt=None&ppn=None&ssid=9jskqlw0qo0000001748704670359&qH=c06ea84a1e3dc3c6
Acer Aspire 5 Backlit Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) A515-58M Thin ...,Acer,45990,4,https://www.flipkart.com/acer-aspire-5-backlit-intel-core-i5-13th-gen-1335u-16-gb-512-gb-ssd-windows-11-home-a515-58m-thin-light-laptop/p/itm4285f066ed3a8?pid=COMH46GJEQWVC7GG&lid=LSTCOMH46GJEQWVC7GG6L0KHF&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_24&otracker=search&fm=organic&iid=4f29a5d8-87b5-4bd5-b861-2e6554e7b03e.COMH46GJEQWVC7GG.SEARCH&ppt=None&ppn=None&ssid=9jskqlw0qo0000001748704670359&qH=c06ea84a1e3dc3c6
